date,site,region,crew,crew_contact,asset_id,asset_type,asset_name,make,model,circuits_qty,location,Annual DB Maint,MSB Maint,Thermo Test,RCD Time Test,Generator Run Start,UPS Maint,defects_outstanding,tech_initials,notes
Fri 1 May 2026,Site-Alpha,Metro,Crew-A,0400 000 001,AST-ALP-MSB-01,Main Switchboard,MSB-Main,Schneider,Prisma,1,Plant Room,—,☐,☐,—,—,—,,,
Fri 1 May 2026,Site-Alpha,Metro,Crew-A,0400 000 001,AST-ALP-DB-01,Distribution Board,DB-L1,Schneider,IC60,42,Level 1 Riser,☐,—,☐,☐,—,—,,,
Fri 1 May 2026,Site-Alpha,Metro,Crew-A,0400 000 001,AST-ALP-DB-02,Distribution Board,DB-L2,Schneider,IC60,38,Level 2 Riser,☐,—,☐,☐,—,—,,,
Fri 1 May 2026,Site-Alpha,Metro,Crew-A,0400 000 001,AST-ALP-UPS-01,UPS Distribution Board,DB-UPS,NHP,DIN-T,18,Plant Room,☐,—,☐,☐,—,☐,,,
Fri 1 May 2026,Site-Alpha,Metro,Crew-A,0400 000 001,AST-ALP-GEN-01,Generator,GEN-1,FG Wilson,P220HE2,1,Generator Yard,—,—,—,—,☐,—,,,
Mon 4 May 2026,Site-Bravo,Metro,Crew-A,0400 000 001,AST-BRV-MSB-01,Main Switchboard,MSB-Main,Hager,VR,1,Plant Room,—,☐,☐,—,—,—,Main isolator handle stiff,,
Mon 4 May 2026,Site-Bravo,Metro,Crew-A,0400 000 001,AST-BRV-DB-01,Distribution Board,DB-1,Hager,VR,24,Office Area,☐,—,☐,☐,—,—,,,
Mon 4 May 2026,Site-Bravo,Metro,Crew-A,0400 000 001,AST-BRV-DB-02,Distribution Board,DB-2,Hager,VR,16,Workshop,☐,—,☐,☐,—,—,,,
Mon 4 May 2026,Site-Bravo,Metro,Crew-A,0400 000 001,AST-BRV-DB-03,Distribution Board,DB-3,Hager,VR,12,Storage,☐,—,☐,☐,—,—,RCD 3 trips on test - replace,,
Mon 4 May 2026,Site-Bravo,Metro,Crew-A,0400 000 001,AST-BRV-UPS-01,UPS Distribution Board,DB-UPS,NHP,DIN-T,8,Comms Room,☐,—,☐,☐,—,☐,,,
Tue 5 May 2026,Site-Charlie,Regional,Crew-B,0400 000 002,AST-CHA-MSB-01,Main Switchboard,MSB-Main,Schneider,Prisma,1,Plant Room,—,☐,☐,—,—,—,,,
Tue 5 May 2026,Site-Charlie,Regional,Crew-B,0400 000 002,AST-CHA-DB-01,Distribution Board,DB-Office,Schneider,IC60,30,Office,☐,—,☐,☐,—,—,,,
Tue 5 May 2026,Site-Charlie,Regional,Crew-B,0400 000 002,AST-CHA-DB-02,Distribution Board,DB-Yard,Schneider,IC60,8,External,☐,—,☐,☐,—,—,Door hinge corroded,,
Tue 5 May 2026,Site-Charlie,Regional,Crew-B,0400 000 002,AST-CHA-UPS-01,UPS Distribution Board,DB-UPS,NHP,DIN-T,12,Comms Room,☐,—,☐,☐,—,☐,,,
Tue 5 May 2026,Site-Charlie,Regional,Crew-B,0400 000 002,AST-CHA-GEN-01,Generator,GEN-1,FG Wilson,P220HE2,1,Generator Yard,—,—,—,—,☐,—,,,
Wed 6 May 2026,Site-Delta,Regional,Crew-B,0400 000 002,AST-DEL-MSB-01,Main Switchboard,MSB-Main,ABB,System Pro,1,Plant Room,—,☐,☐,—,—,—,,,
Wed 6 May 2026,Site-Delta,Regional,Crew-B,0400 000 002,AST-DEL-DB-01,Distribution Board,DB-A,ABB,SR,22,Building A,☐,—,☐,☐,—,—,,,
Wed 6 May 2026,Site-Delta,Regional,Crew-B,0400 000 002,AST-DEL-DB-02,Distribution Board,DB-B,ABB,SR,18,Building B,☐,—,☐,☐,—,—,,,
Wed 6 May 2026,Site-Delta,Regional,Crew-B,0400 000 002,AST-DEL-DB-03,Distribution Board,DB-C,ABB,SR,10,Carpark,☐,—,☐,☐,—,—,,,
Wed 6 May 2026,Site-Delta,Regional,Crew-B,0400 000 002,AST-DEL-DB-04,Distribution Board,DB-D,ABB,SR,6,Sub-station,☐,—,☐,☐,—,—,,,
